Id,Title,Company,Location,Summary
https://kr.indeed.com/viewjob?jk=3a2b931a41ad9d42 ,Product Manager - Engine Oil Additives,Lubrizol,서울,"growth. Develop, and implement both long- term and short- term product line strategies to ensure that products within..."
https://kr.indeed.com/viewjob?jk=03a58b6646ab9a11 ,HANA Core Developer,SAP,서울,"areas like Transaction processing and Data replication... short term. However, the scope... limited only to them..."
https://kr.indeed.com/viewjob?jk=a03885da3c1030f6 ,Account Director - MediaMonks Korea,MediaMonks,서울,"targets, you’ll help grow business accounts... long- term success for all parties. Please be attentive... position..."
https://kr.indeed.com/viewjob?jk=c895ed610aa7cfd3 ,Account Executive (APAC),Echobox,서울,your region. You... charge of building long- term partnerships with key decision makers at large publishing companies...
https://kr.indeed.com/viewjob?jk=1c720911ecb8f467 ,Cloud Front Sales Manager,Success Korea,서울,forecast and various business reports. - Develop long- term strategic relationships with key accounts. - Ensure customer...
https://kr.indeed.com/viewjob?jk=fb0bb19b300b29ff ,"Sr Account Manager, SK - Amazon Web Serv...",Amazon Web Services Korea LLC,서울,"use... up-front expenses or long- term commitments, making AWS the most cost... Develop long- term strategic relationships..."
https://kr.indeed.com/viewjob?jk=604c8ec90b5c60ce ,Senior Front-end Developer,Asiance,서울,품권 지급 Working from home Leaving work at 4 o'clock on Long- term employee Chuseok & every Wednesday (Flexible) the last Friday...
https://kr.indeed.com/viewjob?jk=7018842f381480e1 ,Pharmacy Sales Representative (4~7년차),Success Korea,서울,based on efficient paper work - Long- term career aspiration fits the organization... paper work - Long- term career aspiration...
https://kr.indeed.com/viewjob?jk=419692b3ddb34768 ,Analytics Specialist,MightyHive,서울,drive long- term value... role focuses... uncover opportunities to drive long- term value Business Facing Project manage...
https://kr.indeed.com/viewjob?jk=48e738d6a6b3e629 ,Material Planner,Dupont,충청남도 천안,contracts or purchase orders. Lead resolution of short- term supply/demand imbalances. Participates in weekly planning...
https://kr.indeed.com/viewjob?jk=6e0b269ca9f710d6 ,Assistant Project Manager_Architecture,Burberry,서울,mindset is core to our business and key to our long- term success. JOB PURPOSE Responsible for co-ordinating and supporting...
https://kr.indeed.com/viewjob?jk=07aaf4e9da9983b0 ,QHSE-S Engineer,제목,인천,Project - Assess Risk Assessment - Any other assigned duties - Term contract (estimated 9 months duration) Essential Criteria...
https://kr.indeed.com/viewjob?jk=61c7c4d0f57e34cd ,"Regional Director, South Korea",University of Maryland Global Campus,대한민국,leaders. Assist... planning and coordinating... annual and term-specific hybrid and F2F schedule of classes. Assist...
https://kr.indeed.com/viewjob?jk=874fb8367ad03070 ,Key Account Manager for EMI Shield,Success Korea,경기도 수원,"term relation at various levels and disciplines, in order to maximize the value (top- and bottom-line) of short & long term..."
https://kr.indeed.com/viewjob?jk=f428b2ce7c5af3c7 ,Business Development Director - MediaMon...,MediaMonks,서울,"targets, you help to grow business accounts... long- term success for all parties. Lastly... role would require you..."
https://kr.indeed.com/viewjob?jk=19944ee0ce69608d ,Scenario Planning Manager,Edwards Korea Ltd,충청남도 천안,role is responsible... review of demand scenarios from short term to long terms... Semiconductor division. Managing...
https://kr.indeed.com/viewjob?jk=fdf3db5d93bf8d0e ,Seeking Motivated Instructor for April S...,Chung Dahm Learning,대구,winter... summer all contracts... minimum one year term E2 sponsorship Requirements... native English...
https://kr.indeed.com/viewjob?jk=96da26ed1ae4b8c8 ,"Sr. Practice Manager, Professional Servi...",Amazon Web Services Korea LLC,서울,disciplined team of direct reports. The PM will develop a long term Professional Services territory strategy and execute...
https://kr.indeed.com/viewjob?jk=4d7abadc31a934a5 ,OEM Sales Manager,Success Korea,서울 상암동,"via price changes or share gain. ? Building strong, long- term customer relationships, based on value... help contribute..."
https://kr.indeed.com/viewjob?jk=5d45a4c7bfb593de ,[해외취업] 플라스틱 사출&무역물류 전문기업 / 회계관리 부문 인턴사원,사이다링크,서울 논현동,your outcome in mind. We strive to create a long term personalized relationship with all our clients by demonstrating premium...
https://kr.indeed.com/viewjob?jk=8e0e48f94e40a586 ,IT Service Mgmt III - (B3),Applied Materials Inc.,대한민국,"self-motivated individual able to build and sustain long- term good relationships with internal customers, colleagues..."
https://kr.indeed.com/viewjob?jk=1d4061cbc7ad9498 ,AR Accountant ( 12 months contract),Richemont,서울,"12 months contract) Richemont Seoul, 11, KR Fixed Term Richemont owns some... world’s leading luxury goods Maisons..."
https://kr.indeed.com/viewjob?jk=cc85973b2bc23208 ,GL accountant ( 12 months contract),Richemont,서울,"12 months contract) Richemont Seoul, 11, KR Fixed Term Richemont owns some... world’s leading luxury goods Maisons..."
https://kr.indeed.com/viewjob?jk=91c6ce9461e58e01 ,Safety Investigations Specialist,Uber,서울,Contribute to building the team... organization for long term success Work closely... regional safety program team...
https://kr.indeed.com/viewjob?jk=85d11141f98e67e4 ,Islamic Charity and Finance Project Mana...,국경없는의사회 한국,서울 강남구,"quantity), cost effective partnerships, and mid/long term development of a strategy... defined entities/circles..."
https://kr.indeed.com/viewjob?jk=21030c2564a66210 ,"Marketing Manager, South Korea",Leica Biosystems,서울,"executes competitive marketing strategies achieving short and long- term revenue growth, ensuring that goals are consistent..."
https://kr.indeed.com/viewjob?jk=b18f41c7cb2b1cb5 ,Booking Coordinator,ZIM,서울,needs Enhancing e-Commerce & e-BK KPI Keying-in long- term/mid- term forecast in Booking Forecast system Reporting daily...
https://kr.indeed.com/viewjob?jk=3ae73b094ebd696b ,Junior Innovation Advisor,Mind the Bridge,대한민국,"strong interpersonal skills and ability to create positive, long- term working relationships by demonstrating a commitment..."
https://kr.indeed.com/viewjob?jk=0be66fd97617e032 ,Hiring Summer Program Instructors,One-Stop Prep,대한민국,provided after successful completion of contracted term. [Housing Support] Company will provide housing stipend...
https://kr.indeed.com/viewjob?jk=b252ad2a65c996c8 ,Clinical Research Associate,Docs Global,서울,provide them with opportunities to develop... long- term career. It takes courage to move from one job to another...
https://kr.indeed.com/viewjob?jk=1b28e89d02afb811 ,[Consumer Health] Korea Supply Chain Hea...,Johnson & Johnson Family of Companies,서울,"oriented and ability to follow through on committed tasks Long- term thinking, innovative & collaborative working Min. fluent..."
https://kr.indeed.com/viewjob?jk=a7cb88f9ccc0cab9 ,Regional Head of Wind Asia,BayWa r.e.,서울,"portfolio of initiatives and programs that ensure BayWa r.e long- term competitiveness. Establish budgets, business plans..."
https://kr.indeed.com/viewjob?jk=d25de9b19acc9f56 ,"Mendix Sales Director, South Korea",Siemens Industry Software Ltd.,서울,"impact... world. So, if you aim high and think long term…you belong here. We innovate. We want... what happens next..."
